time,open,high,low,close,Volume,Volume MA,ATR
2026-02-01T15:55:00-08:00,25545,25547.75,25532.25,25535,862,1068.8,18.297362170448196
2026-02-01T15:56:00-08:00,25536,25545,25532.75,25543.5,684,1017.05,17.865407729701896
2026-02-01T15:57:00-08:00,25544,25549,25536.25,25538.75,547,994,17.50002146329462
2026-02-01T15:58:00-08:00,25538.75,25544.75,25535.5,25541.75,347,945.75,16.91073421591643
2026-02-01T15:59:00-08:00,25543.25,25543.75,25529.75,25533.5,530,937.1,16.702824629065258
2026-02-01T16:00:00-08:00,25532.75,25538.5,25516,25518.75,2015,998.8,17.116908584132027
2026-02-01T16:01:00-08:00,25517.5,25522.25,25492,25499.25,2404,1094.95,18.05498654240831
2026-02-01T16:02:00-08:00,25499.25,25526.25,25498.75,25510.25,1591,1154,18.729630360807715
2026-02-01T16:03:00-08:00,25510.5,25516.25,25487.25,25492.25,1428,1158.1,19.463228192178594
2026-02-01T16:04:00-08:00,25492.5,25514.75,25488.5,25514.75,918,1098.5,19.94799760702298
2026-02-01T16:05:00-08:00,25515,25515,25504.25,25509.5,544,1038.2,19.29099777794991
2026-02-01T16:06:00-08:00,25510.25,25511.5,25498,25507.5,534,996.4,18.877355079524914
2026-02-01T16:07:00-08:00,25508.5,25520,25505.75,25505.75,699,975.6,18.546829716701705
2026-02-01T16:08:00-08:00,25506,25557.75,25506,25553.25,2153,1040.4,20.93634187979444
2026-02-01T16:09:00-08:00,25553,25569.5,25545,25563.5,1758,1092.85,21.190888888380552
2026-02-01T16:10:00-08:00,25563.25,25568.25,25546.75,25560,1569,1104.45,21.21296825349623
2026-02-01T16:11:00-08:00,25560.5,25569.75,25559.25,25564.75,912,1111.3,20.447756235389356
2026-02-01T16:12:00-08:00,25565.25,25586.25,25558.25,25573.25,2092,1158.65,20.987202218575828
2026-02-01T16:13:00-08:00,25574,25596.5,25573.75,25588.5,1447,1199.85,21.148830631534697
2026-02-01T16:14:00-08:00,25589,25607,25581.75,25584,2101,1256.75,21.44177130071079
2026-02-01T16:15:00-08:00,25584,25599,25581.75,25586,1091,1268.2,21.142359064945733
2026-02-01T16:16:00-08:00,25585.25,25600.75,25584.75,25594.5,861,1277.05,20.775047703163896
2026-02-01T16:17:00-08:00,25594.75,25604,25589,25589.5,789,1289.15,20.362544295795043
2026-02-01T16:18:00-08:00,25589.25,25598.25,25578.75,25593.75,1473,1345.45,20.30093398895254
2026-02-01T16:19:00-08:00,25593.5,25615.25,25593.5,25597.5,1611,1399.5,20.40443870402736
2026-02-01T16:20:00-08:00,25596.5,25613.25,25595.75,25600.5,953,1346.4,20.196978796596834
2026-02-01T16:21:00-08:00,25600.5,25605.5,25596.75,25599.25,817,1267.05,19.379337453982775
2026-02-01T16:22:00-08:00,25599.25,25621,25599,25619,1065,1240.75,19.566527635841148
2026-02-01T16:23:00-08:00,25620,25621.5,25603.5,25613.75,1096,1224.15,19.454632804709636
2026-02-01T16:24:00-08:00,25614,25617.75,25608.25,25612.5,528,1204.65,18.743587604373236
2026-02-01T16:25:00-08:00,25612.5,25616.75,25594.25,25597.25,1072,1231.05,19.011902775489432
2026-02-01T16:26:00-08:00,25597,25625,25597,25623.5,1074,1258.05,19.653909720097328
2026-02-01T16:27:00-08:00,25622.5,25634.25,25620.75,25623.25,1508,1298.5,19.214344740090375
2026-02-01T16:28:00-08:00,25622.75,25624.25,25609.25,25617.25,1118,1246.75,18.913320115798204
2026-02-01T16:29:00-08:00,25617.25,25618,25606.25,25612.5,777,1197.7,18.401654393241188
2026-02-01T16:30:00-08:00,25613.75,25616.25,25602,25612.75,1045,1171.5,18.105107650866817
2026-02-01T16:31:00-08:00,25613.5,25623.25,25604.5,25613.25,778,1164.8,18.151171390090617
2026-02-01T16:32:00-08:00,25613.75,25621,25600.5,25604,884,1104.4,18.318944862227
2026-02-01T16:33:00-08:00,25603.75,25605.25,25591.75,25602.75,974,1080.75,17.97473451492507
2026-02-01T16:34:00-08:00,25603.75,25607.25,25593.5,25603.25,576,1004.5,17.672967763858995
2026-02-01T16:35:00-08:00,25603.75,25618.5,25599,25618.5,952,997.55,17.803470066440497
2026-02-01T16:36:00-08:00,25618.25,25627.5,25617.5,25625.25,951,1002.05,17.246079347409033
2026-02-01T16:37:00-08:00,25625.5,25637,25624,25637,1065,1015.85,16.942787965451245
2026-02-01T16:38:00-08:00,25636.5,25646,25630.25,25642.25,1113,997.85,16.85758882506187
2026-02-01T16:39:00-08:00,25642.25,25643.25,25623.25,25627.5,1288,981.7,17.08204676612888
2026-02-01T16:40:00-08:00,25627.25,25635.5,25625.75,25629,724,970.25,16.558329139976816
2026-02-01T16:41:00-08:00,25630,25636,25626.25,25631.25,481,953.45,16.072019915692756
2026-02-01T16:42:00-08:00,25630.25,25635.25,25626.5,25628.5,472,923.8,15.549018493143274
2026-02-01T16:43:00-08:00,25628.25,25635,25626.25,25628.5,631,900.55,15.063374315061612
