session_date,rth_start,rth_end,ib_high,ib_low,ib_range,midpoint,ib_volume,total_volume,relative_ib_volume,rth_high,rth_low,rth_close,rotation,failed_auction,breakside,breakside_rotation_up,breakside_rotation_down,breakside_retracement_points,breakside_retracement_normib,opening_window_minutes,opening_range_high,opening_range_low,opening_range,opening_range_close,opening_direction,opening_type,opening_bar_open,opening_bar_close,opening_bar_open_close,opening_bar_volume
2023-11-16,06:30,13:00,15905.75,15825.0,80.75,15865.375,237789.0,809503.0,0.29374690396453135,15907.25,15797.75,15896.75,True,failed_both,low,15883.0,15907.25,82.25,1.0185758513931888,10,15855.25,15825.0,30.25,15847.75,down,auction,15851.0,15849.75,-1.25,10362.0
2023-11-17,06:30,13:00,15880.75,15827.0,53.75,15853.875,206533.0,675392.0,0.30579722590732494,15940.0,15824.5,15897.75,True,failed_low,low,,15940.0,113.0,2.1023255813953488,10,15873.25,15842.5,30.75,15845.5,down,auction,15862.5,15863.75,1.25,8472.0
2023-11-20,06:30,13:00,16003.0,15894.75,108.25,15948.875,224018.0,644466.0,0.3476025112263486,16116.75,15894.75,16089.0,False,none,high,,,3.75,0.03464203233256351,10,15983.0,15894.75,88.25,15969.0,up,auction,15895.0,15922.5,27.5,7303.0
2023-11-21,06:30,13:00,16021.25,15921.5,99.75,15971.375,219898.0,634241.0,0.3467104775629453,16021.25,15917.0,15991.5,False,failed_low,low,,16000.75,79.25,0.7944862155388471,10,16021.25,15980.5,40.75,16007.0,down,auction,16013.0,15994.25,-18.75,8010.0
2023-11-22,06:30,13:00,16173.25,16005.25,168.0,16089.25,331798.0,824290.0,0.4025258100911087,16173.25,16005.25,16048.25,False,none,none,,,,,10,16173.25,16069.5,103.75,16149.75,up,auction,16069.75,16101.25,31.5,9798.0
2023-11-23,06:30,13:00,16069.5,16051.5,18.0,16060.5,23231.0,46077.0,0.5041777893526054,16074.5,16051.5,16062.25,False,failed_high,high,16058.5,,11.0,0.6111111111111112,10,16065.0,16055.0,10.0,16064.25,up,auction,16063.0,16059.75,-3.25,425.0
2023-11-24,06:30,13:00,16053.25,15990.0,63.25,16021.625,146173.0,274221.0,0.5330481618840278,16053.25,15981.75,16010.75,False,failed_low,low,,16026.0,36.0,0.5691699604743083,10,16053.25,16002.25,51.0,16022.25,down,auction,16028.25,16010.25,-18.0,6545.0
2023-11-27,06:30,13:00,16050.0,15970.25,79.75,16010.125,231834.0,698583.0,0.33186321453571016,16089.0,15970.25,16006.75,False,failed_high,high,15997.75,,52.25,0.6551724137931034,10,16037.25,15970.25,67.0,16002.25,up,auction,15999.0,16034.75,35.75,13950.0
2023-11-28,06:30,13:00,16007.25,15958.25,49.0,15982.75,215772.0,808622.0,0.2668391411561892,16071.5,15958.25,16048.0,False,none,high,,,38.5,0.7857142857142857,10,16007.25,15973.0,34.25,15988.25,up,auction,15974.25,15976.25,2.0,7110.0
2023-11-29,06:30,13:00,16207.75,16085.0,122.75,16146.375,264515.0,800530.0,0.330424843541154,16207.75,16013.5,16025.25,False,none,low,,,15.0,0.12219959266802444,10,16207.75,16146.5,61.25,16192.75,up,auction,16147.25,16159.25,12.0,6821.0
